Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,3,J575-ND,CONN JACK TEST HORIZ INSUL MINI,DAC Shield,3,0,0.68000,$2.04,
2,3,J576-ND,CONN JACK TEST HORIZ INSUL MINI,DAC Shield,3,0,0.68000,$2.04,
3,3,J578-ND,CONN JACK TEST HORIZ INSUL MINI,DAC Shield,3,0,0.68000,$2.04,
4,3,J577-ND,CONN JACK TEST HORIZ INSUL MINI,DAC Shield,3,0,0.68000,$2.04,
5,10,P2N2222AGOS-ND,TRANS GP SS NPN LP 40V TO92,Timer board Q1, Q2,10,0,0.30500,$3.05,
6,2,5-1375204-3-ND,CONN MOD PLUG 8P8C SHIELDED,FASTWAVE,2,0,1.98000,$3.96,
7,1,NHD-0216K1Z-FL-YBW-ND,LCD MOD CHAR 2X16 Y/G TRANSFL,2X16 LCD,1,0,10.50000,$10.50,
8,3,AD8422ARZ-ND,IC OP AMP INST RR 2.2MHZ 8SOIC,Analog Dream Shield,3,0,6.15000,$18.45,
9,250,P19.6KHCT-ND,RES 19.6K OHM 1/10W 1% 0603 SMD,,250,0,0.00780,$1.95,
10,250,P4.99KHCT-ND,RES 4.99K OHM 1/10W 1% 0603 SMD,,250,0,0.00780,$1.95,
11,250,P2.21KHCT-ND,RES 2.21K OHM 1/10W 1% 0603 SMD,,250,0,0.00780,$1.95,
12,250,P402HCT-ND,RES 402 OHM 1/10W 1% 0603 SMD,,250,0,0.00780,$1.95,
13,250,P200HCT-ND,RES 200 OHM 1/10W 1% 0603 SMD,,250,0,0.00780,$1.95,
14,250,P39.2HCT-ND,RES 39.2 OHM 1/10W 1% 0603 SMD,,250,0,0.00780,$1.95,
15,100,22KQBK-ND,RES 22K OHM 1/4W 5% AXIAL,,100,0,0.02420,$2.42,
16,100,10KQBK-ND,RES 10K OHM 1/4W 5% AXIAL,,100,0,0.02420,$2.42,
17,100,12KQBK-ND,RES 12K OHM 1/4W 5% AXIAL,,100,0,0.02420,$2.42,
18,100,33KQBK-ND,RES 33K OHM 1/4W 5% AXIAL,,100,0,0.02420,$2.42,
19,5,LM741CNNS/NOPB-ND,IC OP AMP HI PERFORMANCE 8-DIP,DAC Shield,5,0,0.70000,$3.50,
20,10,445-2905-ND,CAP CER 47UF 16V RADIAL,,10,0,1.15000,$11.50,
21,2,609-3951-ND,TERM BLOCK HDR 2POS 7.62MM R/A,IV Sensor,2,0,1.20000,$2.40,
22,2,609-3945-ND,TERM BLOCK PLUG 2POS 7.62MM,IV Sensor,2,0,2.25000,$4.50,
23,2,609-4215-ND,TERM BLK PLUG 2 POS 5.08MM,IV Sensor,2,0,0.75000,$1.50,
24,2,609-3907-ND,TERM BLOCK HDR 2POS 5.08MM R/A,IV Sensor,2,0,0.29000,$0.58,
25,2,AP1186K550LDICT-ND,IC REG LDO 5V 1.5A TO263-5,IV Sensor,2,0,1.63000,$3.26,
